time,scheduling_class,collection_type,priority,mem_req,cpu_req,mem_avg,cpu_avg,mem_max,cpu_max
0,3,1,200,0.014434814453125,0.020660400390625,0.00592041015625,0.00466156005859375,0.0059356689453125,0.01190185546875
2517305308183,2,0,360,0.0013027191162109375,0.00724029541015625,9.5367431640625E-7,0,9.5367431640625E-7,0
195684022913,2,0,103,0.0041656494140625,0.048583984375,0.002788543701171875,0.024200439453125,0.00284576416015625,0.06005859375
0,3,0,200,0.0416259765625,0.0704345703125,0.034423828125,0.047607421875,0.03466796875,0.13330078125
1810627494172,2,0,0,2.3174285888671875E-4,0.00244903564453125,7.62939453125E-5,2.70843505859375E-4,7.62939453125E-5,4.1484832763671875E-4
1626744497194,0,0,103,0.00540924072265625,0.0615234375,0.00323486328125,0.0794677734375,0.00405120849609375,0.21923828125
130721370174,1,0,117,0.0015621185302734375,0.00566864013671875,0.001316070556640625,0.0042572021484375,0.0016536712646484375,0.012481689453125
2373350421416,2,0,103,0.0015010833740234375,0.022003173828125,7.581710815429688E-4,0.0064697265625,7.82012939453125E-4,0.027984619140625
1970214287222,0,0,0,0.003612518310546875,0.0081024169921875,6.771087646484375E-4,2.002716064453125E-4,6.7901611328125E-4,8.182525634765625E-4
2212203898561,0,0,103,0.00676727294921875,0.09716796875,0.004119873046875,0.0121917724609375,0.004241943359375,0.026611328125
36255576255,0,1,116,0.0048370361328125,0.01629638671875,0.0026702880859375,5.18798828125E-4,0.0026702880859375,0.0023345947265625
723622816016,1,0,103,0.0104217529296875,0.04119873046875,6.580352783203125E-5,0.001049041748046875,6.961822509765625E-5,0.013275146484375
204389347359,2,0,0,2.2125244140625E-4,0.0025177001953125,8.58306884765625E-6,0,8.58306884765625E-6,0
1659671622423,1,0,105,0.011016845703125,4.405975341796875E-4,8.96453857421875E-4,2.1839141845703125E-4,8.993148803710938E-4,7.944107055664062E-4
365676977693,2,0,360,0.0013027191162109375,0.0142059326171875,3.1757354736328125E-4,0.0018672943115234375,5.359649658203125E-4,0.00717926025390625
1129358774407,2,0,360,0.0013027191162109375,0.02288818359375,0.01922607421875,0.031982421875,0.0206298828125,0.0692138671875
0,3,0,450,0.00423431396484375,0,0.0020751953125,0.01812744140625,0.002132415771484375,0.0556640625
